Id,OwnerUserId,CreationDate,ParentId,Score,Body
591,111.0,2008-08-03T00:37:03Z,580,3,"I work the same way Karl does, by keeping all of my SQL scripts for creating and altering tables in a text file that I keep in source control.  In fact, to avoid the problem of having to have a script examine the live database to determine what ALTERs to run, I usually work like this: On the first version, I place everything during testing into one SQL script, and treat all tables as a CREATE.  This means I end up dropping and readding tables a lot during testing, but that's not a big deal early into the project (since I'm usually hacking the data I'm using at that point anyway). On all subsequent versions, I do two things: I make a new text file to hold the upgrade SQL scripts, that contain just the ALTERs for that version.  And I make the changes to the original, create a fresh database script as well.  This way an upgrade just runs the upgrade script, but if we have to recreate the DB we don't need to run 100 scripts to get there. Depending on how I'm deploying the DB changes, I'll also usually put a version table in the DB that holds the version of the DB.  Then, rather than make any human decisions about which scripts to run, whatever code I have running the create/upgrade scripts uses the version to determine what to run. The one thing this will not do is help if part of what you're moving from test to production is data, but if you want to manage structure and not pay for a nice, but expensive DB management package, is really not very difficult.  I've also found it's a pretty good way of keeping mental track of your DB."
597,76.0,2008-08-03T01:38:02Z,580,1,I agree that scripting everything is the best way to go and is what I advocate at work.  You should script everything from DB and object creation to populating your lookup tables. Anything you do in UI only won't translate (especially for changes... not so much for first deployments) and will end up requiring a tools like what Redgate offers.
655,91.0,2008-08-03T11:41:38Z,650,69,"With the ""Built in"" stuff, you can't, as using 1.0.* or 1.0.0.* will replace the revision and build numbers with a coded date/timestamp, which is usually also a good way. For more info, see the Assembly Linker Documentation in the /v tag. As for automatically incrementing numbers, use the AssemblyInfo Task: AssemblyInfo Task This can be configured to automatically increment the build number. There are 2 Gotchas: Each of the 4 numbers in the Version string is limited to 65535. This is a Windows Limitation and unlikely to get fixed. Why are build numbers limited to 65535? Using with with Subversion requires a small change: Using MSBuild to generate assembly version info at build time (including SubVersion fix) Retrieving the Version number is then quite easy: Version v = Assembly.GetExecutingAssembly().GetName().Version;
string About = string.Format(CultureInfo.InvariantCulture, @""YourApp Version {0}.{1}.{2} (r{3})"", v.Major, v.Minor, v.Build, v.Revision); And, to clarify: In .net or at least in C#, the build is actually the THIRD number, not the fourth one as some people (for example Delphi Developers who are used to Major.Minor.Release.Build) might expect. In .net, it's Major.Minor.Build.Revision."
787,175.0,2008-08-03T18:46:33Z,650,4,What source control system are you using? Almost all of them have some form of $ Id $ tag that gets expanded when the file is checked in. I usually use some form of hackery to display this as the version number. The other alternative is use to use the date as the build number: 080803-1448
818,233.0,2008-08-03T20:45:27Z,810,0,"I'm partway to my solution with this entry on MSDN (don't know how I couldn't find it before). User/Machine Hive Subkeys and values entered under this hive will be installed under the HKEY_CURRENT_USER hive when a user chooses ""Just Me"" or the HKEY_USERS hive or when a user chooses ""Everyone"" during installation. Registry Editor"
820,91.0,2008-08-03T20:48:47Z,810,3,"First: Yes, this is something that belongs in the Application for the exact reson you specified: What happens after new user profiles are created? Sure, if you're using a domain it's possible to have some stuff put in the registry on creation, but this is not really a use case. The Application should check if there are seetings and use the default settings if not. That being said, it IS possible to change other users Keys through the HKEY_USERS Hive. I have no experience with the Visual Studio 2003 Setup Project, so here is a bit of (totally unrelated) VBScript code that might just give you an idea where to look: const HKEY_USERS = &H80000003 strComputer = ""."" Set objReg=GetObject(""winmgmts:{impersonationLevel=impersonate}!\\"" & strComputer & ""\root\default:StdRegProv"") strKeyPath = """" objReg.EnumKey HKEY_USERS, strKeyPath, arrSubKeys strKeyPath = ""\Software\Microsoft\Windows\CurrentVersion\WinTrust\Trust Providers\Software Publishing"" For Each subkey In arrSubKeys objReg.SetDWORDValue HKEY_USERS, subkey & strKeyPath, ""State"", 146944 Next (Code Courtesy of Jeroen Ritmeijer )"
829,234.0,2008-08-03T21:17:33Z,810,4,"I'm guessing that because you want to set it for all users, that you're on some kind of shared computer, which is probably running under a domain? HERE BE DRAGONS Let's say Joe and Jane regularly log onto the computer, then they will each have 'registries'. You'll then install your app, and the installer will employ giant hacks and disgusting things to set items under HKCU for them. THEN, bob will come along and log on (he, and 500 other people have accounts in the domain and so can do this). He's never used this computer before, so he has no registry. The first time he logs in, windows creates him one, but he won't have your setting. Your app then falls over or behaves incorrectly, and bob complains loudly about those crappy products from raynixon incorporated. The correct answer is to just have some default settings in your app, which can write them to the registry if it doesn't find them. It's general good practice that your app should never depend on the registry, and should create things as needed, for any registry entry, not just HKCU, anyway"
870,233.0,2008-08-03T22:34:06Z,810,0,"Despite what the MSDN article says about User/Machine Hive, it doesn't write to HKEY_USERS. Rather it writes to HKCU if you select Just Me and HKLM if you select Everyone. So my solution is going to be to use the User/Machine Hive, and then in the application it checks if the registry entries are in HKCU and if not, copies them from HKLM. I know this probably isn't the most ideal way of doing it, but it has the least amount of changes."
940,243.0,2008-08-04T01:07:14Z,930,15,"Very roughly and from memory since I don't have code on this laptop: using (OleDBConnection conn = new OleDbConnection())
{
  conn.ConnectionString = ""Whatever connection string"";

  using (OleDbCommand cmd = new OleDbCommand())
  {
    cmd.Connection = conn;
    cmd.CommandText = ""Select * from CoolTable"";

    using (OleDbDataReader dr = cmd.ExecuteReader())
    {
      while (dr.Read())
      {
        // do something like Console.WriteLine(dr[""column name""] as String);
      }
    }
  }
}"
951,49.0,2008-08-04T01:31:31Z,930,26,"@Goyuix -- that's excellent for something written from memory.
tested it here -- found the connection wasn't opened. Otherwise very nice. using System.Data.OleDb;
...

using (OleDbConnection conn = new OleDbConnection())
{
    conn.ConnectionString = ""Provider=sqloledb;Data Source=yourServername\\yourInstance;Initial Catalog=databaseName;Integrated Security=SSPI;"";

    using (OleDbCommand cmd = new OleDbCommand())
    {
        conn.Open();
        cmd.Connection = conn;
        cmd.CommandText = ""Select * from yourTable"";

        using (OleDbDataReader dr = cmd.ExecuteReader())
        {
            while (dr.Read())
            {
                Console.WriteLine(dr[""columnName""]);
            }
        }
    }
}"
1022,93.0,2008-08-04T04:45:05Z,930,9,"That's definitely a good way to do it.  But you if you happen to be using a database that supports LINQ to SQL, it can be a lot more fun.  It can look something like this: MyDB db = new MyDB(""Data Source=...""); var q = from db.MyTable select c; foreach (var c in q) Console.WriteLine(c.MyField.ToString());"
1043,55.0,2008-08-04T05:59:53Z,1040,2,"You can use this program, Handle , to find which process has the lock on your file. It's a command-line tool, so I guess you use the output from that... I'm not sure about finding it programmatically. If deleting the file can wait, you could specify it for deletion when your computer next starts up: Start REGEDT32 (W2K) or REGEDIT (WXP) and navigate to: HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager W2K and WXP W2K: Edit Add Value... Data Type: REG_MULTI_SZ Value Name: PendingFileRenameOperations OK WXP: Edit New Multi-String Value enter PendingFileRenameOperations In the Data area, enter ""\??\"" + filename to be deleted. LFNs may
be entered without being embedded in quotes. To delete C:\Long Directory Name\Long File Name.exe , enter the following data: \??\C:\Long Directory Name\Long File Name.exe Then press OK . The ""destination file name"" is a null (zero) string. It is entered
as follows: W2K: Edit Binary select Data Format: Hex click at the end of the hex string enter 0000 (four zeros) OK WXP: Right-click the value choose ""Modify Binary Data"" click at the end of the hex string enter 0000 (four zeros) OK Close REGEDT32/REGEDIT and reboot to delete the file. (Shamelessly stolen from some random forum , for posterity's sake.)"
1044,227.0,2008-08-04T06:01:52Z,1040,32,"Killing other processes is not a healthy thing to do. If your scenario involves something like uninstallation, you could use the MoveFileEx API function to mark the file for deletion upon next reboot. If it appears that you really need to delete a file in use by another process, I'd recommend re-considering the actual problem before considering any solutions."
1049,234.0,2008-08-04T06:12:11Z,1040,5,"If you want to do it programatically. I'm not sure... and I'd really recommend against it.
If you're just troubleshooting stuff on your own machine, SysInternals Process Explorer can help you Run it, use the Find Handle command (I think it's either in the find or handle menu), and search for the name of your file. Once the handle(s) is found, you can forcibly close them. You can then delete the file and so on. Beware , doing this may cause the program which owns the handles to behave strangely, as you've just pulled the proverbial rug out from under it, but it works well when you are debugging your own errant code, or when visual studio / windows explorer is being crap and not releasing file handles even though you told them to close the file ages ago... sigh :-)"
1050,234.0,2008-08-04T06:14:42Z,1040,1,"Oh, one big hack I employed years ago, is that Windows won't let you delete files, but it does let you move them. Pseudo-sort-of-code: mv %WINDIR%\System32\mfc42.dll %WINDIR\System32\mfc42.dll.old
Install new mfc42.dll
Tell user to save work and restart applications When the applications restarted (note we didn't need to reboot the machine), they loaded the new mfc42.dll , and all was well. That, coupled with PendingFileOperations to delete the old one the next time the whole system restarted, worked pretty well."
1051,,2008-08-04T06:15:30Z,1040,11,"The typical method is as follows. You've said you want to do this in C# so here goes... If you don't know which process has the file locked, you'll need to examine each process's handle list, and query each handle to determine if it identifies the locked file. Doing this in C# will likely require P/Invoke or an intermediary C++/CLI to call the native APIs you'll need. Once you've figured out which process(es) have the file locked, you'll need to safely inject a small native DLL into the process (you can also inject a managed DLL, but this is messier, as you then have to start or attach to the .NET runtime). That bootstrap DLL then closes the handle using CloseHandle etc. Essentially: the way to unlock a ""locked"" file is to inject a DLL into the offending process's address space and close it yourself. You can do this using native or managed code. No matter what, you're going to need a small amount of native code or at least P/Invoke into the same. Helpful links: http://www.codeproject.com/KB/threads/winspy.aspx http://damianblog.com/2008/07/02/net-code-injection/ Good luck!"
1074,1.0,2008-08-04T08:04:41Z,1010,7,"Rex, I suspect a good place to start looking is solutions that compress the ViewState -- they're grabbing ViewState on the server before it's sent down to the client and gzipping it. That's exactly where you want to be. Scott Hanselman on ViewState Compression (2005) ViewState Compression with System.IO.Compression (2007)"
1082,116.0,2008-08-04T08:21:07Z,1070,2,"Yes, you are right to lock at the VSZ. ps u will give you the VSZ and RSS, which are the virtual memory size and resident set size.  The RSS is how much physical memory has been allocated to the process, and the VSZ is the virtual memory size of the process.  If you have several copies of a program running, a lot of the memory in the VSZ will be shared between those processes."
1093,51.0,2008-08-04T09:04:17Z,1010,2,"See this blog post where the author describes a method for overriding the default behavior for generating the ViewState and instead shows how to save it on the server Session object. In ASP.NET 2.0, ViewState is saved by
  a descendant of PageStatePersister
  class. This class is an abstract class
  for saving and loading ViewsState and
  there are two implemented descendants
  of this class in .Net Framework, named
  HiddenFieldPageStatePersister and
  SessionPageStatePersister. By default
  HiddenFieldPageStatePersister is used
  to save/load ViewState information,
  but we can easily get the
  SessionPageStatePersister to work and
  save ViewState in Session object. Although I did not test his code, it seems to show exactly what you want: a way to gain access to ViewState code while still on the server, before postback."
1164,91.0,2008-08-04T11:41:37Z,1160,2,"I am currently ""manually"" doing it through a prebuild-exec Task, using my cmdnetsvnrev tool, but if someone knows a better ccnet-integrated way of doing it, i'd be happy to hear :-)"
1168,120.0,2008-08-04T11:51:59Z,1160,3,I found this project on google code. This is CCNET plugin to generate the label in CCNET . The DLL is tested with CCNET 1.3 but it works with CCNET 1.4 for me. I'm successfully using this plugin to label my build. Now onto passing it to MSBuild ...
1169,275.0,2008-08-04T11:56:42Z,1160,13,"You have basically two options. Either you write a simple script that will start and parse output from svn.exe info --revision HEAD to obtain revision number (then generating AssemblyInfo.cs is pretty much straight forward) or just use plugin for CCNET. Here it is: SVN Revision Labeller is a plugin for
  CruiseControl.NET that allows you to
  generate CruiseControl labels for your
  builds, based upon the revision number
  of your Subversion working copy. This
  can be customised with a prefix and/or
  major/minor version numbers. http://code.google.com/p/svnrevisionlabeller/ I prefer the first option because it's only roughly 20 lines of code: using System;
using System.Diagnostics;

namespace SvnRevisionNumberParserSample
{
    class Program
    {
        static void Main()
        {
            Process p = Process.Start(new ProcessStartInfo()
                {
                    FileName = @""C:\Program Files\SlikSvn\bin\svn.exe"", // path to your svn.exe
                    UseShellExecute = false,
                    RedirectStandardOutput = true,
                    Arguments = ""info --revision HEAD"",
                    WorkingDirectory = @""C:\MyProject"" // path to your svn working copy
                });

            // command ""svn.exe info --revision HEAD"" will produce a few lines of output
            p.WaitForExit();

            // our line starts with ""Revision: ""
            while (!p.StandardOutput.EndOfStream)
            {
                string line = p.StandardOutput.ReadLine();
                if (line.StartsWith(""Revision: ""))
                {
                    string revision = line.Substring(""Revision: "".Length);
                    Console.WriteLine(revision); // show revision number on screen                       
                    break;
                }
            }

            Console.Read();
        }
    }
}"
1172,266.0,2008-08-04T12:03:03Z,1160,3,"If you prefer doing it on the MSBuild side over the CCNet config, looks like the MSBuild Community Tasks extension's SvnVersion task might do the trick."
1185,60.0,2008-08-04T12:28:03Z,1180,1,"The trick to that is to use URL rewriting so that name.domain.com transparently maps to something like domain.com/users/name on your server.  Once you start down that path, it's fairly trivial to implement."
1187,275.0,2008-08-04T12:32:24Z,1180,7,"Don't worry about DNS and URL rewriting Your DNS record will be static, something like: *.YOURDOMAIN.COM A 123.123.123.123 Ask your DNS provider to do it for you (if it's not done already) or do it by yourself if you have control over your DNS records. This will automatically point all your subdomains (current and future ones) into the same HTTP server. Once it's done, you will only need to parse HOST header on every single http request to detect what hostname was used to access your server-side scripts on your http server. Assuming you're using ASP.NET, this is kind of silly example I came up with but works and demonstrates simplicity of this approach: <%@ Language=""C#"" %> <% string subDomain = Request.Url.Host.Split('.')[0].ToUpper(); if (subDomain == ""CLIENTXXX"") Response.Write(""Hello CLIENTXXX, your secret number is 33""); else if (subDomain == ""CLIENTYYY"") Response.Write(""Hello CLIENTYYY, your secret number is 44""); else Response.Write(subDomain+"" doesn't exist""); %>"
1216,120.0,2008-08-04T13:22:31Z,1160,2,"Customizing csproj files to autogenerate AssemblyInfo.cs http://www.codeproject.com/KB/dotnet/Customizing_csproj_files.aspx Every time we create a new C# project,
  Visual Studio puts there the
  AssemblyInfo.cs file for us. The file
  defines the assembly meta-data like
  its version, configuration, or
  producer. Found the above technique to auto-gen AssemblyInfo.cs using MSBuild. Will post sample shortly."
1232,48.0,2008-08-04T13:39:39Z,1180,11,"The way we do this is to have a 'catch all' for our domain name registered in DNS so that anything.ourdomain.com will point to our server. With Apache you can set up a similar catch-all for your vhosts.  The ServerName must be a single static name but the ServerAlias directive can contain a pattern. Servername www.ourdomain.com
ServerAlias *.ourdomain.com Now all of the domains will trigger the vhost for our project.  The final part is to decode the domain name actually used so that you can work out the username in your code, something like (PHP): list( $username ) = explode( ""."", $_SERVER[ ""HTTP_HOST"" ] ); or a RewriteRule as already suggested that silently maps user.ourdomain.com/foo/bar to www.ourdomain.com/foo/bar?user=user or whatever you prefer."
1235,173.0,2008-08-04T13:43:54Z,1160,3,"I have written a NAnt build file that handles parsing SVN information and creating properties. I then use those property values for a variety of build tasks, including setting the label on the build. I use this target combined with the SVN Revision Labeller mentioned by lubos hasko with great results. <target name=""svninfo"" description=""get the svn checkout information""> <property name=""svn.infotempfile"" value=""${build.directory}\svninfo.txt"" /> <exec program=""${svn.executable}"" output=""${svn.infotempfile}""> <arg value=""info"" /> </exec> <loadfile file=""${svn.infotempfile}"" property=""svn.info"" /> <delete file=""${svn.infotempfile}"" /> <property name=""match"" value="""" /> <regex pattern=""URL: (?'match'.*)"" input=""${svn.info}"" /> <property name=""svn.info.url"" value=""${match}""/> <regex pattern=""Repository Root: (?'match'.*)"" input=""${svn.info}"" /> <property name=""svn.info.repositoryroot"" value=""${match}""/> <regex pattern=""Revision: (?'match'\d+)"" input=""${svn.info}"" /> <property name=""svn.info.revision"" value=""${match}""/> <regex pattern=""Last Changed Author: (?'match'\w+)"" input=""${svn.info}"" /> <property name=""svn.info.lastchangedauthor"" value=""${match}""/> <echo message=""URL: ${svn.info.url}"" /> <echo message=""Repository Root: ${svn.info.repositoryroot}"" /> <echo message=""Revision: ${svn.info.revision}"" /> <echo message=""Last Changed Author: ${svn.info.lastchangedauthor}"" /> </target>"
1320,312.0,2008-08-04T15:12:37Z,1300,4,"In my opinion it is more a question of personal preference.  nAnt is a great framework and MSBuild is almost as capable.  With the ability to easily develop custom tasks (in both frameworks) you can accomplish almost anything that you need to do. I cannot answer the ""still supported"" portion of your questions, but I would say if you are already comfortable with nAnt then it's probably viable.  If you (or someone in your group) is familiar with MSBuild then that is a fine way to go as well."
1347,17.0,2008-08-04T15:37:31Z,1300,0,"Honestly it depends on what fits in to your environment better.  If you are using a lot of Non-Microsoft tools, nunit, ccnet, ncover.  You will probably find better support with nant.  Alternatively if you are using MSTest, TFSBuild, you will probably find MSBuild a better environment.  I would learn both and use which every fits more smoothly with your environment."
1364,35.0,2008-08-04T15:52:42Z,1300,2,"If you've already got a bunch of custom tasks you use with nAnt, stick with it - you don't gain much with MSBuild.  That said, there doesn't seem to be anything that nAnt can do that MSBuild can't at its core.  Both can call external tools, both can run .Net-based custom tasks, and both have a bunch of community tasks out there. We're using MSBuild here for the same reason you are - it's the default build system for VS now, and we didn't have any nAnt-specific stuff to worry about. The MSBuildCommunityTasks are a good third-party task base to start with, and covers most of the custom stuff I ever did in nAnt, including VSS and Subversion support."
1394,91.0,2008-08-04T16:38:03Z,1390,16,"Not sure how credible this source is , but: The Windows Server 2008 Core edition can: Run the file server role. Run the Hyper-V virtualization server role. Run the Directory Services role. Run the DHCP server role. Run the IIS Web server role. Run the DNS server role. Run Active Directory Lightweight Directory Services. Run the print server role. The Windows Server 2008 Core edition cannot: Run a SQL Server. Run an Exchange Server. Run Internet Explorer. Run Windows Explorer. Host a remote desktop session. Run MMC snap-in consoles locally."
1446,307.0,2008-08-04T17:38:59Z,580,2,"Using SMO/DMO, it isn't too difficult to generate a script of your schema.  Data is a little more fun, but still doable. In general, I take ""Script It"" approach, but you might want to consider something along these lines: Distinguish between Development and Staging, such that you can Develop with a subset of data ... this I would create a tool to simply pull down some production data, or generate fake data where security is concerned. For team development, each change to the database will have to be coordinated amongst your team members.  Schema and data changes can be intermingled, but a single script should enable a given feature.  Once all your features are ready, you bundle these up in a single SQL file and run that against a restore of production. Once your staging has cleared acceptance, you run the single SQL file again on the production machine. I have used the Red Gate tools and they are great tools, but if you can't afford it, building the tools and working this way isn't too far from the ideal."
1464,26.0,2008-08-04T18:00:50Z,580,5,"Like Rob Allen, I use SQL Compare / Data Compare by Redgate. I also use the Database publishing wizard by Microsoft. I also have a console app I wrote in C# that takes a sql script and runs it on a server. This way you can run large scripts with 'GO' commands in it from a command line or in a batch script. I use Microsoft.SqlServer.BatchParser.dll and Microsoft.SqlServer.ConnectionInfo.dll libraries in the console application."
1550,313.0,2008-08-04T19:51:49Z,650,0,"Some time ago I wrote a quick and dirty exe that would update the version #'s in an assemblyinfo.{cs/vb} - I also have used rxfind.exe (a simple and powerful regex-based search replace tool) to do the update from a command line as part of the build process.  A couple of other helpfule hints: separate the assemblyinfo into product parts (company name, version, etc.) and assembly specific parts (assembly name etc.).  See here Also - i use subversion, so I found it helpful to set the build number to subversion revision number thereby making it really easy to always get back to the codebase that generated the assembly (e.g. 1.4.100.1502 was built from revision 1502)."
1617,173.0,2008-08-04T21:46:01Z,1600,6,"It is possible to skip the step of creating the empty database. You can create the new database as part of the restore process. This is actually the easiest and best way I know of to clone a database. You can eliminate errors by scripting the backup and restore process rather than running it through the SQL Server Management Studio There are two other options you could explore: Detach the database, copy the .mdf file and re-attach. Use SQL Server Integration Services (SSIS) to copy all the objects over I suggest sticking with backup and restore and automating if necessary."
1621,224.0,2008-08-04T21:54:18Z,1610,51,"You can not do this programatically (in a safe way that is) without creating a new table. What Enterprise Manager does when you commit a reordering is to create a new table, move the data and then delete the old table and rename the new table to the existing name. If you want your columns in a particular order/grouping without altering their physical order, you can create a view which can be whatever you desire."
1624,192.0,2008-08-04T22:00:53Z,1610,1,"When Management Studio does it, it's creating a temporary table, copying everything across, dropping your original table and renaming the temporary table.  There's no simple equivalent T-SQL statement. If you don't fancy doing that, you could always create a view of the table with the columns in the order you'd like and use that? Edit: beaten!"
1646,225.0,2008-08-04T22:18:05Z,1600,4,"Here's a dynamic sql script I've used in the past.  It can be further modified but it will give you the basics.  I prefer scripting it to avoid the mistakes you can make using the Management Studio: Declare @OldDB varchar(100) Declare @NewDB varchar(100) Declare @vchBackupPath varchar(255) Declare @query varchar(8000) /*Test code to implement Select @OldDB = 'Pubs' Select @NewDB = 'Pubs2' Select @vchBackupPath = '\\dbserver\C$\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL\Backup\pubs.bak' */ SET NOCOUNT ON; Select @query = 'Create Database ' + @NewDB exec(@query) Select @query = ' Declare @vBAKPath varchar(256) declare @oldMDFName varchar(100) declare @oldLDFName varchar(100) declare @newMDFPath varchar(100) declare @newLDFPath varchar(100) declare @restQuery varchar(800) select @vBAKPath = ''' + @vchBackupPath + ''' select @oldLDFName = name from ' + @OldDB +'.dbo.sysfiles where filename like ''%.ldf%'' select @oldMDFName = name from  ' + @OldDB +'.dbo.sysfiles where filename like ''%.mdf%'' select @newMDFPath = physical_name from ' + @NewDB +'.sys.database_files where type_desc = ''ROWS'' select @newLDFPath = physical_name from ' + @NewDB +'.sys.database_files where type_desc = ''LOG'' select @restQuery = ''RESTORE DATABASE ' + @NewDB + ' FROM DISK = N'' + '''''''' + @vBAKpath + '''''''' + '' WITH MOVE N'' + '''''''' + @oldMDFName + '''''''' + '' TO N'' + '''''''' + @newMDFPath + '''''''' + '', MOVE N'' + '''''''' + @oldLDFName + '''''''' + '' TO N'' + '''''''' + @newLDFPath + '''''''' + '', NOUNLOAD, REPLACE, STATS = 10'' exec(@restQuery) --print @restQuery' exec(@query)"
1673,308.0,2008-08-04T22:52:31Z,1300,13,"If you are quite happy with MSBuild, then I would stick with MSBuild.  This may be one of those cases where the tool you learn first is the one you will prefer.  I started with NAnt and can't quite get used to MSBuild.  I'm sure they will both be around for quite some time. There are some fundamental differences between the two, probably best highlighted by this conversation between some NAnt fans and a Microsoftie . Interestingly, Jeremy Miller asked the exact opposite question on his blog last year."
